skim_type,skim_variable,Metadata_dataset,n_missing,complete_rate,character.min,character.max,character.empty,character.n_unique,character.whitespace,sample_values,n_values
character,pert_id,CDRP-BBBC047-Bray,0,1,4,22,0,21845,0,"BRD-K05722694-001-01-8,BRD-K19973268-001-02-5,BRD-K26569518-001-01-2,BRD-K40826084-001-01-2,BRD-K43558307-001-01-9,BRD-K47584662-001-01-0,BRD-K70717477-001-01-1,BRD-K92844788-001-01-1,BRD-K96742509-001-03-7,BRD-M88256629-001-01-5",21845
character,pert_dose,CDRP-BBBC047-Bray,0,1,3,16,0,8209,0,"10.1659,10.2368,10.3526,5.03345,8.4523,9.80086,9.84545,9.8732,9.979,9.99632",8209
character,det_plate,CDRP-BBBC047-Bray,0,1,29,29,0,389,0,"PAC012_U2OS_6H_X1_B1_UNI4445L,PAC028_U2OS_6H_X3_B1_UNI4445L,PAC046_U2OS_6H_X1_B1_UNI4445L,PAC047_U2OS_6H_X1_B1_UNI4445R,PAC050_U2OS_6H_X2_B1_UNI4445R,PAC055_U2OS_6H_X3_B1_UNI4445L,PAC060_U2OS_6H_X3_B1_UNI4445R,PAC064_U2OS_6H_X1_B1_UNI4445L,PAC064_U2OS_6H_X1_B1_UNI4445R,PAC066_U2OS_6H_X2_B1_UNI4445L",389
character,BROAD_CPD_ID,CDRP-BBBC047-Bray,0,1,4,13,0,21782,0,"BRD-K01971712,BRD-K04614055,BRD-K27618188,BRD-K34095629,BRD-K55880295,BRD-K61237522,BRD-K63982890,BRD-K86845618,BRD-K92701606,BRD-K92841050",21782
character,CPD_NAME,CDRP-BBBC047-Bray,3478,0.9489430416911333,2,109,0,21746,0,"BRD-K00391235,BRD-K06326887,BRD-K16891407,BRD-K40266835,BRD-K43982279,BRD-K74807825,BRD-K75136523,BRD-K79260617,BRD-K82736385,BRD-K94223259",21747
character,CPD_TYPE,CDRP-BBBC047-Bray,3478,0.9489430416911333,3,3,0,3,0,"BIO,DOS,POS",4
character,CPD_SMILES,CDRP-BBBC047-Bray,3478,0.9489430416911333,10,225,0,21781,0,"C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)C(=O)NC2CCCCC2)OCc2ccccc2-c2c(C1=O)n(C)c1ccccc21,C[C@@H](CO)N1C[C@@H](C)[C@H](CN(C)CC2CCCCC2)Oc2ccc(NC(=O)Nc3ccc4OCOc4c3)cc2CC1=O,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n1cncn1,Cc1noc(C)c1COC(=O)CCc1nc2ccccc2s1,CN1[C@@H]2CC[C@@H](CC(=O)NC3Cc4ccccc4C3)O[C@@H]2COc2ccc(NC(=O)c3ccc(cc3)C(F)(F)F)cc2C1=O,Cn1cccc1Cc1nnc(SCC(=O)Nc2ccc3OCCOc3c2)n1-c1ccc(F)cc1,CN1CCN(CC1)C(=O)C[C@@H]1C[C@@H]2[C@@H](Oc3ccc(NC(=O)C4CCC4)cc23)[C@@H](CO)O1,CO[C@@H](CN(C)S(=O)(=O)c1ccccc1)[C@@H](C)CN(Cc1ccccc1Cl)[C@H](C)CO,CO[C@@H]1CN(C)C(=O)c2ccc(NC(=O)Cc3ccccc3)cc2OC[C@H](C)N(C[C@H]1C)C(=O)c1ccccc1F,OC[C@@H]1O[C@@H](CC(=O)NC2CCC2)C=C[C@H]1NC(=O)C1CC1",21782
character,pert_id_dose,CDRP-BBBC047-Bray,0,1,4,19,0,21817,0,"BRD-A26845397_10.0,BRD-K13267130_10.1,BRD-K21788104_10.0,BRD-K36289461_10.51,BRD-K42061172_9.95,BRD-K51036109_10.09,BRD-K59324394_9.9,BRD-K61505971_10.02,BRD-K74430258_10.0,BRD-K87640319_10.1",21817
character,pert_sample_dose,CDRP-BBBC047-Bray,0,1,4,28,0,21850,0,"BRD-K10144853-001-01-5_9.9,BRD-K10486333-001-02-8_10.07,BRD-K25646425-001-01-1_10.05,BRD-K37393297-001-05-2_10.0,BRD-K39705203-001-01-7_10.02,BRD-K58971526-001-01-1_10.04,BRD-K76672835-001-01-9_9.98,BRD-K76970388-001-01-8_10.02,BRD-K86715531-001-01-1_9.95,BRD-K97939219-001-01-3_9.99",21850
character,pert_id,CDRPBIO-BBBC036-Bray,0,1,4,22,0,1917,0,"BRD-A07232941-001-01-9,BRD-A99402294-236-02-0,BRD-K08438429-001-01-0,BRD-K15196155-001-01-5,BRD-K32595626-001-01-8,BRD-K35498378-001-03-8,BRD-K35708212-331-03-1,BRD-K41564320-001-01-2,BRD-K54210043-001-02-0,BRD-K60932973-001-01-7",1917
