"CP"	"GE"	"Early Fusion"	"RGCCA"	"MCIA"	"MOFA"	"iCluster"	"intNMF"	"JIVE"	"scikit-fusion"
0.278851699	0.21674894	0.259032794	0.31199107	0.244958406	0.245157412	0.166666667	0.273648354	0.26111079	0.202512456
0.281781202	0.217353574	0.272947479	0.299993438	0.237120438	0.24766634	0.166666667	0.284937711	0.271319067	0.204582565
0.2718746	0.219221298	0.288572557	0.300109206	0.245544432	0.239201534	0.176470588	0.284523564	0.264215061	0.20097943
0.274209543	0.214641334	0.266898688	0.298896298	0.248330213	0.247923298	0.166666667	0.292745201	0.256330169	0.192807023
0.265629351	0.217429769	0.279090052	0.307711408	0.239454065	0.239942443	1	0.285721498	0.26371381	0.199625524
0.275029708	0.2239464	0.28495489	0.301235572	0.2386484	0.254481673	0.153846154	0.282939774	0.264471233	0.1976511
0.288765182	0.217004773	0.282173851	0.306246664	0.246732016	0.254969989	0.4	0.294275281	0.263112267	0.200504611
0.278531041	0.223395083	0.275002364	0.293082233	0.24396531	0.242451334	0.333333333	0.291354281	0.258611036	0.209453967
0.272455248	0.231600555	0.262360363	0.295268069	0.241331141	0.255809239	0.5	0.296717155	0.261306837	0.207150644
0.275023829	0.225685487	0.271300656	0.295524507	0.246870483	0.238823953	0.16	0.274089946	0.265535744	0.20338892
0.28143867	0.224871523	0.260911678	0.303672023	0.236066059	0.239288014	0.171428571	0.294494354	0.261902235	0.209384306
0.282288852	0.223132721	0.282475537	0.290829442	0.244147491	0.256209037	0.2	0.282647138	0.259500099	0.19759714
0.287532178	0.222311311	0.26242836	0.295981315	0.243569808	0.243439708	0.157894737	0.275122015	0.260815605	0.202213235
0.301480301	0.215302881	0.270409742	0.300910495	0.239649912	0.247746601	0.1	0.28834381	0.251075084	0.204514447
0.277106418	0.217944084	0.281592592	0.309385645	0.246099862	0.247184454	0.083333333	0.286270538	0.25763249	0.207762257
0.260563304	0.229904461	0.266062905	0.301805175	0.238773842	0.237490211	0.117647059	0.285515992	0.252312053	0.20449294
