"CP"	"GE"	"Early Fusion"	"RGCCA"	"MCIA"	"MOFA"	"iCluster"	"intNMF"	"JIVE"	"scikit-fusion"
0.188998329	0.152892632	0.161685084	0.201019074	0.174152986	0.186524756	0.177777778	0.159674769	0.177569702	0.119184686
0.182455547	0.155460808	0.1663579	0.198310907	0.179608683	0.173331065	0.226415094	0.16362849	0.167412958	0.116937471
0.193899409	0.152630737	0.174071877	0.190282351	0.181639662	0.172031122	0.070588235	0.166882412	0.169969459	0.120875801
0.182039125	0.155030388	0.165013806	0.196283122	0.182571093	0.172776906	0.071005917	0.168034196	0.1757652	0.124514593
0.184550744	0.147509477	0.169153875	0.187533527	0.177913267	0.17130581	0.043478261	0.159508666	0.167613402	0.113748412
0.182496631	0.159455754	0.165133202	0.18379198	0.179867253	0.183528183	0.089430894	0.169158962	0.159833977	0.12420253
0.171946117	0.154463604	0.178991604	0.197523283	0.19030103	0.171250903	0.2	0.172767563	0.164891016	0.123406295
0.186694719	0.155486143	0.164093562	0.187112227	0.186310238	0.183258565	0.208333333	0.165169404	0.171638208	0.118322396
0.180338058	0.143601898	0.15861667	0.200142072	0.184137339	0.17660344	0.072164948	0.16547984	0.163073586	0.126149742
0.183605321	0.15741292	0.171381991	0.188784002	0.173252761	0.177570921	0.01369863	0.163314014	0.173093975	0.11873174
0.193222559	0.156995026	0.173813632	0.196182388	0.174394311	0.171367636	0.083333333	0.165245188	0.164822426	0.11878228
0.192671978	0.154919056	0.170624979	0.193073079	0.181786851	0.171575995	0.291139241	0.171691008	0.165878195	0.119526703
0.187967039	0.155867196	0.162878291	0.19683875	0.192637938	0.18045576	0.461538462	0.157649099	0.163766256	0.117880675
0.18544228	0.157804763	0.179560591	0.185849847	0.187052994	0.177218298	0.049382716	0.163521993	0.161072242	0.124717351
0.190641757	0.155245631	0.15904326	0.192819574	0.18380893	0.170782525	0.058823529	0.164331798	0.174827621	0.120163039
0.185672437	0.164612477	0.173447376	0.196032956	0.174881143	0.17674655	0.25	0.162468251	0.162594174	0.124472168
0.190136704	0.153092828	0.170318814	0.199112922	0.181481014	0.181176604	0.15625	0.169043792	0.158751472	0.118636228
0.184765443	0.157565332	0.173143963	0.198382252	0.179289922	0.173976218	0.45	0.172475028	0.164535448	0.11733305
0.192641148	0.154739976	0.171832001	0.197707877	0.179048991	0.182646244	0.138888889	0.169634439	0.170512163	0.120909347
0.183218664	0.156702842	0.17199648	0.189603926	0.180477667	0.179052585	0.057971014	0.171736775	0.152669412	0.116083564
0.187256874	0.147593792	0.170884185	0.198366585	0.180195479	0.175878718	0.058139535	0.169146685	0.159364501	0.118681457
0.187069918	0.149542804	0.16561384	0.187212941	0.183953164	0.182117759	0.046511628	0.166623749	0.170293955	0.120635555
0.183073028	0.153191771	0.156706199	0.198252086	0.178945469	0.183918728	0.01369863	0.164690939	0.168051618	0.12046373
