,CDRP-bio-Lasso,CDRP-bio-MLP,LUAD-Lasso,LUAD-MLP,LINCS-Lasso,LINCS-MLP,TAORF-Lasso,TAORF-MLP
AARS,23.43,65.96,61.8,96.45,27.05,90.27,-0.64,1.05
ABCB6,-4.04,-1.16,74.32,99.46,34.59,63.49,5.84,29.14
ABCC5,-0.83,10.67,-3.27,-1.02,-2.66,-0.16,-7.57,0.63
ABCF1,-13.32,4.1,10.31,12.77,20.8,31.97,-0.16,11.64
ABCF3,5.83,-4.1,44.73,47.72,-6.82,35.05,13.38,28.48
ABHD4,21.85,24.38,79.49,93.29,14.76,24.76,-1.36,-2.68
ABHD6///LOC643635,-5.42,12.1,14.4,33.89,-1.55,1.84,3.12,-3.57
ABL1,2.91,26.54,13.28,38.75,4.73,25.11,-0.33,-0.01
ACAA1,-0.8,35.69,34.52,35.47,1.43,9.62,11.17,2.64
ACAT2,-4.47,20.16,7.91,24.69,-0.3,8.92,-6.12,-3.66
ACBD3,-5.62,11.26,13.79,39.59,13.68,32.49,10.47,2.3
ACD,-3.55,27.3,15.48,33.89,0.68,-0.09,-2.86,3.1
ACLY,-0.95,5.04,51.26,97.88,5.23,10.0,5.22,21.91
ACOT9,-3.51,35.73,-1.22,0.36,-2.19,1.79,6.1,8.33
ADAM10,3.12,46.35,63.92,70.75,4.32,21.74,-5.28,-1.93
ADAT1,-7.78,4.57,0.82,11.64,-0.01,2.52,-2.62,5.62
ADH5,8.75,24.85,9.35,19.19,-2.16,-0.4,-5.4,-12.63
ADI1,-2.79,14.99,-2.46,2.54,0.03,11.67,-10.8,0.22
ADO,2.86,28.2,-2.56,-2.2,2.73,23.12,-1.57,-1.51
ADRB2,,,-4.17,7.71,-4.49,1.42,-2.84,-1.89
AGL,-6.27,12.57,10.48,24.67,-0.66,1.79,-1.04,2.5
AKAP8,-4.94,6.0,9.82,19.76,-6.17,15.8,-2.95,-0.64
AKAP8L,30.81,44.2,9.06,18.09,29.0,38.12,-2.15,12.85
AKR7A2,0.85,33.42,31.46,55.58,6.14,14.77,-2.81,11.02
AKT1,-6.17,12.07,4.94,41.38,4.49,18.15,8.63,7.38
ALAS1,-3.5,35.11,51.41,66.07,29.03,38.14,24.23,34.07
ALDH7A1,-3.28,1.97,49.42,42.99,1.5,10.99,5.25,9.94
ALDOA,,,18.6,43.03,12.46,23.53,-0.4,1.46
ALDOC,1.85,37.13,40.15,45.53,12.84,39.97,-0.86,3.19
AMDHD2,-0.28,28.17,29.03,39.84,0.52,12.49,3.69,8.11
ANKRD10,-3.87,16.86,20.98,32.24,-2.68,7.28,0.58,3.72
ANO10,5.19,10.88,61.15,50.38,10.9,12.9,5.65,0.28
ANXA7,6.73,42.51,26.56,74.02,16.43,39.63,24.36,26.32
APBB2,13.26,24.6,17.13,14.45,3.01,6.85,-0.59,-4.12
APOE,,,3.32,13.04,2.21,12.14,-0.84,5.79
APP,,,52.09,72.36,9.1,21.45,-1.94,3.98
APPBP2,-36.23,5.81,63.81,92.3,23.56,35.8,1.15,26.16
