ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT
DECR1	2,4-dienoyl-CoA reductase 1(DECR1)	Homo sapiens	GO:0006635~fatty acid beta-oxidation,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,GO:0005829~cytosol,GO:1902494~catalytic complex,	GO:0008670~2,4-dienoyl-CoA reductase (NADPH) activity,GO:0016491~oxidoreductase activity,GO:0042802~identical protein binding,GO:0070402~NADPH binding,
ADO	2-aminoethanethiol dioxygenase(ADO)	Homo sapiens	GO:0071456~cellular response to hypoxia,	GO:0005829~cytosol,	GO:0005506~iron ion binding,GO:0005515~protein binding,GO:0016702~oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen,GO:0046872~metal ion binding,GO:0047800~cysteamine dioxygenase activity,
HMGCR	3-hydroxy-3-methylglutaryl-CoA reductase(HMGCR)	Homo sapiens	GO:0006695~cholesterol biosynthetic process,GO:0006743~ubiquinone metabolic process,GO:0007568~aging,GO:0007584~response to nutrient,GO:0008299~isoprenoid biosynthetic process,GO:0008542~visual learning,GO:0010664~negative regulation of striated muscle cell apoptotic process,GO:0010666~positive regulation of cardiac muscle cell apoptotic process,GO:0015936~coenzyme A metabolic process,GO:0016126~sterol biosynthetic process,GO:0032874~positive regulation of stress-activated MAPK cascade,GO:0038183~bile acid signaling pathway,GO:0042177~negative regulation of protein catabolic process,GO:0042632~cholesterol homeostasis,GO:0043407~negative regulation of MAP kinase activity,GO:0045445~myoblast differentiation,GO:0045471~response to ethanol,GO:0045907~positive regulation of vasoconstriction,GO:0048643~positive regulation of skeletal muscle tissue development,GO:0048661~positive regulation of smooth muscle cell proliferation,GO:0050709~negative regulation of protein secretion,GO:0061045~negative regulation of wound healing,GO:0061179~negative regulation of insulin secretion involved in cellular response to glucose stimulus,GO:0070328~triglyceride homeostasis,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0070723~response to cholesterol,GO:1900222~negative regulation of beta-amyloid clearance,	GO:0005778~peroxisomal membrane,GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0016021~integral component of membrane,	GO:0004420~hydroxymethylglutaryl-CoA reductase (NADPH) activity,GO:0005515~protein binding,GO:0042802~identical protein binding,GO:0050661~NADP binding,GO:0051721~protein phosphatase 2A binding,GO:0070402~NADPH binding,
HMGCS1	3-hydroxy-3-methylglutaryl-CoA synthase 1(HMGCS1)	Homo sapiens	GO:0001889~liver development,GO:0006084~acetyl-CoA metabolic process,GO:0006629~lipid metabolic process,GO:0006695~cholesterol biosynthetic process,GO:0007420~brain development,GO:0008584~male gonad development,GO:0009645~response to low light intensity stimulus,GO:0010142~farnesyl diphosphate biosynthetic process, mevalonate pathway,GO:0014074~response to purine-containing compound,GO:0033197~response to vitamin E,GO:0042493~response to drug,GO:0046690~response to tellurium ion,GO:0071372~cellular response to follicle-stimulating hormone stimulus,GO:0071397~cellular response to cholesterol,GO:0071404~cellular response to low-density lipoprotein particle stimulus,	GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0004421~hydroxymethylglutaryl-CoA synthase activity,GO:0016746~transferase activity, transferring acyl groups,GO:0016853~isomerase activity,GO:0042803~protein homodimerization activity,GO:0043177~organic acid binding,
HACD3	3-hydroxyacyl-CoA dehydratase 3(HACD3)	Homo sapiens	GO:0006633~fatty acid biosynthetic process,GO:0007249~I-kappaB kinase/NF-kappaB signaling,GO:0007254~JNK cascade,GO:0007257~activation of JUN kinase activity,GO:0007264~small GTPase mediated signal transduction,GO:0007266~Rho protein signal transduction,GO:0016601~Rac protein signal transduction,GO:0030148~sphingolipid biosynthetic process,GO:0030497~fatty acid elongation,GO:0042761~very long-chain fatty acid biosynthetic process,GO:0045070~positive regulation of viral genome replication,GO:0046726~positive regulation by virus of viral protein levels in host cell,GO:0050790~regulation of catalytic activity,	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0005925~focal adhesion,GO:0016021~integral component of membrane,GO:0030176~integral component of endoplasmic reticulum membrane,GO:0031965~nuclear membrane,	GO:0005096~GTPase activator activity,GO:0005515~protein binding,GO:0018812~3-hydroxyacyl-CoA dehydratase activity,GO:0019899~enzyme binding,GO:0102344~3-hydroxy-behenoyl-CoA dehydratase activity,GO:0102345~3-hydroxy-lignoceroyl-CoA dehydratase activity,
BDH1	3-hydroxybutyrate dehydrogenase 1(BDH1)	Homo sapiens	GO:0008152~metabolic process,GO:0008202~steroid metabolic process,	GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,GO:0043231~intracellular membrane-bounded organelle,GO:0099617~matrix side of mitochondrial inner membrane,	GO:0003858~3-hydroxybutyrate dehydrogenase activity,GO:0016229~steroid dehydrogenase activity,GO:0016491~oxidoreductase activity,
OXCT1	3-oxoacid CoA-transferase 1(OXCT1)	Homo sapiens	GO:0006629~lipid metabolic process,GO:0007420~brain development,GO:0007507~heart development,GO:0007584~response to nutrient,GO:0009410~response to xenobiotic stimulus,GO:0009725~response to hormone,GO:0014823~response to activity,GO:0035774~positive regulation of insulin secretion involved in cellular response to glucose stimulus,GO:0042182~ketone catabolic process,GO:0042493~response to drug,GO:0042594~response to starvation,GO:0045471~response to ethanol,GO:0046950~cellular ketone body metabolic process,GO:0046952~ketone body catabolic process,GO:0060612~adipose tissue development,	GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,	GO:0008260~3-oxoacid CoA-transferase activity,GO:0008410~CoA-transferase activity,GO:0042802~identical protein binding,
ALAS1	5'-aminolevulinate synthase 1(ALAS1)	Homo sapiens	GO:0001666~response to hypoxia,GO:0006782~protoporphyrinogen IX biosynthetic process,GO:0006783~heme biosynthetic process,GO:0009058~biosynthetic process,GO:0042541~hemoglobin biosynthetic process,GO:0048821~erythrocyte development,GO:1903412~response to bile acid,	GO:0005654~nucleoplasm,GO:0005739~mitochondrion,GO:0005743~mitochondrial inner membrane,GO:0005759~mitochondrial matrix,GO:0005829~cytosol,	GO:0003824~catalytic activity,GO:0003870~5-aminolevulinate synthase activity,GO:0005515~protein binding,GO:0030170~pyridoxal phosphate binding,GO:0042802~identical protein binding,
NT5DC2	5'-nucleotidase domain containing 2(NT5DC2)	Homo sapiens			GO:0008253~5'-nucleotidase activity,GO:0016787~hydrolase activity,GO:0046872~metal ion binding,
AKAP8L	A-kinase anchoring protein 8 like(AKAP8L)	Homo sapiens	GO:0006397~mRNA processing,GO:0007076~mitotic chromosome condensation,GO:0008380~RNA splicing,GO:0010793~regulation of mRNA export from nucleus,GO:0031065~positive regulation of histone deacetylation,GO:0033127~regulation of histone phosphorylation,GO:0044839~cell cycle G2/M phase transition,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0051081~nuclear envelope disassembly,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0016363~nuclear matrix,GO:0016605~PML body,GO:0016607~nuclear speck,GO:1990904~ribonucleoprotein complex,	GO:0003677~DNA binding,GO:0003723~RNA binding,GO:0005515~protein binding,GO:0005521~lamin binding,GO:0016301~kinase activity,GO:0017151~DEAD/H-box RNA helicase binding,GO:0034237~protein kinase A regulatory subunit binding,GO:0042826~histone deacetylase binding,GO:0046872~metal ion binding,
